Horario,Fecha,Sorteo,Numero
mediaTarde,2022-09-05T16:30:00,19664,48
tarde,2022-09-05T19:30:00,19665,70
manana,2022-09-06T12:55:00,19666,8
mediaTarde,2022-09-06T16:30:00,19667,24
tarde,2022-09-06T19:30:00,19668,33
manana,2022-09-07T12:55:00,19669,18
mediaTarde,2022-09-07T16:30:00,19670,54
tarde,2022-09-07T19:30:00,19671,95
manana,2022-09-08T12:55:00,19672,71
mediaTarde,2022-09-08T16:30:00,19673,3
tarde,2022-09-08T19:30:00,19674,59
manana,2022-09-09T12:55:00,19675,58
mediaTarde,2022-09-09T16:30:00,19676,34
tarde,2022-09-09T19:30:00,19677,94
manana,2022-09-10T12:55:00,19678,53
mediaTarde,2022-09-10T16:30:00,19679,7
tarde,2022-09-10T19:30:00,19680,28
manana,2022-09-11T12:55:00,19681,14
mediaTarde,2022-09-11T16:30:00,19682,34
tarde,2022-09-11T19:30:00,19683,31
manana,2022-09-12T12:55:00,19684,38
mediaTarde,2022-09-12T16:30:00,19685,29
tarde,2022-09-12T19:30:00,19686,94
manana,2022-09-13T12:55:00,19687,88
mediaTarde,2022-09-13T16:30:00,19688,79
tarde,2022-09-13T19:30:00,19689,88
manana,2022-09-14T12:55:00,19690,21
mediaTarde,2022-09-14T16:30:00,19691,69
tarde,2022-09-14T19:30:00,19692,72
manana,2022-09-15T12:55:00,19693,63
mediaTarde,2022-09-15T16:30:00,19694,2
tarde,2022-09-15T19:30:00,19695,9
manana,2022-09-16T12:55:00,19696,69
mediaTarde,2022-09-16T16:30:00,19697,14
tarde,2022-09-16T19:30:00,19698,97
manana,2022-09-17T12:55:00,19699,63
mediaTarde,2022-09-17T16:30:00,19700,21
tarde,2022-09-17T19:30:00,19701,49
manana,2022-09-18T12:55:00,19702,71
mediaTarde,2022-09-18T16:30:00,19703,79
tarde,2022-09-18T19:30:00,19704,14
manana,2022-09-19T12:55:00,19705,29
mediaTarde,2022-09-19T16:30:00,19706,50
tarde,2022-09-19T19:30:00,19707,5
manana,2022-09-20T12:55:00,19708,9
mediaTarde,2022-09-20T16:30:00,19709,68
tarde,2022-09-20T19:30:00,19710,5
manana,2022-09-21T12:55:00,19711,13
mediaTarde,2022-09-21T16:30:00,19712,14
tarde,2022-09-21T19:30:00,19713,61
manana,2022-09-22T12:55:00,19714,24
mediaTarde,2022-09-22T16:30:00,19715,22
tarde,2022-09-22T19:30:00,19716,93
manana,2022-09-23T12:55:00,19717,69
mediaTarde,2022-09-23T16:30:00,19718,66
tarde,2022-09-23T19:30:00,19719,46
manana,2022-09-24T12:55:00,19720,48
mediaTarde,2022-09-24T16:30:00,19721,77
tarde,2022-09-24T19:30:00,19722,6
manana,2022-09-25T12:55:00,19723,78
mediaTarde,2022-09-25T16:30:00,19724,22
tarde,2022-09-25T19:30:00,19725,38
manana,2022-09-26T12:55:00,19726,41
mediaTarde,2022-09-26T16:30:00,19727,61
tarde,2022-09-26T19:30:00,19728,32
manana,2022-09-27T12:55:00,19729,24
mediaTarde,2022-09-27T16:30:00,19730,37
tarde,2022-09-27T19:30:00,19731,14
manana,2022-09-28T12:55:00,19732,90
mediaTarde,2022-09-28T16:30:00,19733,79
tarde,2022-09-28T19:30:00,19734,68
manana,2022-09-29T12:55:00,19735,39
mediaTarde,2022-09-29T16:30:00,19736,49
tarde,2022-09-29T19:30:00,19737,57
manana,2022-09-30T12:55:00,19738,8
mediaTarde,2022-09-30T16:30:00,19739,34
tarde,2022-09-30T19:30:00,19740,94
manana,2022-10-01T12:55:00,19741,50
mediaTarde,2022-10-01T16:30:00,19742,12
tarde,2022-10-01T19:30:00,19743,13
manana,2022-10-02T12:55:00,19744,59
mediaTarde,2022-10-02T16:30:00,19745,2
tarde,2022-10-02T19:30:00,19746,15
manana,2022-10-03T12:55:00,19747,72
mediaTarde,2022-10-03T16:30:00,19748,65
tarde,2022-10-03T19:30:00,19749,27
manana,2022-10-04T12:55:00,19750,42
mediaTarde,2022-10-04T16:30:00,19751,17
tarde,2022-10-04T19:30:00,19752,89
manana,2022-10-05T12:55:00,19753,1
mediaTarde,2022-10-05T16:30:00,19754,80
tarde,2022-10-05T19:30:00,19755,63
manana,2022-10-06T12:55:00,19756,42
mediaTarde,2022-10-06T16:30:00,19757,69
tarde,2022-10-06T19:30:00,19758,58
manana,2022-10-07T12:55:00,19759,58
mediaTarde,2022-10-07T16:30:00,19760,92
tarde,2022-10-07T19:30:00,19761,3
manana,2022-10-08T12:55:00,19762,13
mediaTarde,2022-10-08T16:30:00,19763,55
tarde,2022-10-08T19:30:00,19764,2
manana,2022-10-09T12:55:00,19765,69
mediaTarde,2022-10-09T16:30:00,19766,2
tarde,2022-10-09T19:30:00,19767,31
manana,2022-10-10T12:55:00,19768,66
mediaTarde,2022-10-10T16:30:00,19769,76
tarde,2022-10-10T19:30:00,19770,83
manana,2022-10-11T12:55:00,19771,85
mediaTarde,2022-10-11T16:30:00,19772,84
tarde,2022-10-11T19:30:00,19773,65
manana,2022-10-12T12:55:00,19774,29
mediaTarde,2022-10-12T16:30:00,19775,5
tarde,2022-10-12T19:30:00,19776,86
manana,2022-10-13T12:55:00,19777,37
mediaTarde,2022-10-13T16:30:00,19778,57
tarde,2022-10-13T19:30:00,19779,62
manana,2022-10-14T12:55:00,19780,57
mediaTarde,2022-10-14T16:30:00,19781,58
tarde,2022-10-14T19:30:00,19782,14
manana,2022-10-15T12:55:00,19783,54
mediaTarde,2022-10-15T16:30:00,19784,51
tarde,2022-10-15T19:30:00,19785,49
manana,2022-10-16T12:55:00,19786,29
mediaTarde,2022-10-16T16:30:00,19787,6
tarde,2022-10-16T19:30:00,19788,41
manana,2022-10-17T12:55:00,19789,58
mediaTarde,2022-10-17T16:30:00,19790,79
tarde,2022-10-17T19:30:00,19791,91
manana,2022-10-18T12:55:00,19792,73
mediaTarde,2022-10-18T16:30:00,19793,86
tarde,2022-10-18T19:30:00,19794,82
manana,2022-10-19T12:55:00,19795,34
mediaTarde,2022-10-19T16:30:00,19796,90
tarde,2022-10-19T19:30:00,19797,88
manana,2022-10-20T12:55:00,19798,53
mediaTarde,2022-10-20T16:30:00,19799,86
tarde,2022-10-20T19:30:00,19800,69
manana,2022-10-21T12:55:00,19801,39
mediaTarde,2022-10-21T16:30:00,19802,2
tarde,2022-10-21T19:30:00,19803,90
manana,2022-10-22T12:55:00,19804,80
mediaTarde,2022-10-22T16:30:00,19805,22
tarde,2022-10-22T19:30:00,19806,65
manana,2022-10-23T12:55:00,19807,10
mediaTarde,2022-10-23T16:30:00,19808,76
tarde,2022-10-23T19:30:00,19809,33
manana,2022-10-24T12:55:00,19810,55
mediaTarde,2022-10-24T16:30:00,19811,85
tarde,2022-10-24T19:30:00,19812,45
manana,2022-10-25T12:55:00,19813,19
mediaTarde,2022-10-25T16:30:00,19814,11
tarde,2022-10-25T19:30:00,19815,24
manana,2022-10-26T12:55:00,19816,63
mediaTarde,2022-10-26T16:30:00,19817,98
tarde,2022-10-26T19:30:00,19818,5
manana,2022-10-27T12:55:00,19819,70
mediaTarde,2022-10-27T16:30:00,19820,73
tarde,2022-10-27T19:30:00,19821,29
manana,2022-10-28T12:55:00,19822,66
mediaTarde,2022-10-28T16:30:00,19823,64
tarde,2022-10-28T19:30:00,19824,35
manana,2022-10-29T12:55:00,19825,34
mediaTarde,2022-10-29T16:30:00,19826,12
tarde,2022-10-29T19:30:00,19827,44
manana,2022-10-30T12:55:00,19828,14
mediaTarde,2022-10-30T16:30:00,19829,43
tarde,2022-10-30T19:30:00,19830,29
manana,2022-10-31T12:55:00,19831,20
mediaTarde,2022-10-31T16:30:00,19832,79
tarde,2022-10-31T19:30:00,19833,88
manana,2022-11-01T12:55:00,19834,33
mediaTarde,2022-11-01T16:30:00,19835,88
tarde,2022-11-01T19:30:00,19836,3
manana,2022-11-02T12:55:00,19837,94
mediaTarde,2022-11-02T16:30:00,19838,43
tarde,2022-11-02T19:30:00,19839,91
manana,2022-11-03T12:55:00,19840,98
mediaTarde,2022-11-03T16:30:00,19841,31
tarde,2022-11-03T19:30:00,19842,70
manana,2022-11-04T12:55:00,19843,21
mediaTarde,2022-11-04T16:30:00,19844,54
tarde,2022-11-04T19:30:00,19845,44
manana,2022-11-05T12:55:00,19846,19
mediaTarde,2022-11-05T16:30:00,19847,22
tarde,2022-11-05T19:30:00,19848,26
manana,2022-11-06T12:55:00,19849,16
mediaTarde,2022-11-06T16:30:00,19850,92
tarde,2022-11-06T19:30:00,19851,60
manana,2022-11-07T12:55:00,19852,38
mediaTarde,2022-11-07T16:30:00,19853,52
tarde,2022-11-07T19:30:00,19854,71
manana,2022-11-08T12:55:00,19855,59
mediaTarde,2022-11-08T16:30:00,19856,53
tarde,2022-11-08T19:30:00,19857,71
manana,2022-11-09T12:55:00,19858,73
mediaTarde,2022-11-09T16:30:00,19859,29
tarde,2022-11-09T19:30:00,19860,4
manana,2022-11-10T12:55:00,19861,94
mediaTarde,2022-11-10T16:30:00,19862,6
tarde,2022-11-10T19:30:00,19863,11
manana,2022-11-11T12:55:00,19864,2
mediaTarde,2022-11-11T16:30:00,19865,7
tarde,2022-11-11T19:30:00,19866,54
manana,2022-11-12T12:55:00,19867,12
mediaTarde,2022-11-12T16:30:00,19868,11
tarde,2022-11-12T19:30:00,19869,37
manana,2022-11-13T12:55:00,19870,77
mediaTarde,2022-11-13T16:30:00,19871,10
tarde,2022-11-13T19:30:00,19872,81
manana,2022-11-14T12:55:00,19873,90
mediaTarde,2022-11-14T16:30:00,19874,89
tarde,2022-11-14T19:30:00,19875,80
manana,2022-11-15T12:55:00,19876,8
mediaTarde,2022-11-15T16:30:00,19877,55
tarde,2022-11-15T19:30:00,19878,94
manana,2022-11-16T12:55:00,19879,95
mediaTarde,2022-11-16T16:30:00,19880,62
tarde,2022-11-16T19:30:00,19881,30
manana,2022-11-17T12:55:00,19882,86
mediaTarde,2022-11-17T16:30:00,19883,31
tarde,2022-11-17T19:30:00,19884,70
manana,2022-11-18T12:55:00,19885,10
mediaTarde,2022-11-18T16:30:00,19886,72
tarde,2022-11-18T19:30:00,19887,44
manana,2022-11-19T12:55:00,19888,21
mediaTarde,2022-11-19T16:30:00,19889,18
tarde,2022-11-19T19:30:00,19890,94
manana,2022-11-20T12:55:00,19891,90
mediaTarde,2022-11-20T16:30:00,19892,66
tarde,2022-11-20T19:30:00,19893,66
manana,2022-11-21T12:55:00,19894,90
mediaTarde,2022-11-21T16:30:00,19895,10
tarde,2022-11-21T19:30:00,19896,73
manana,2022-11-22T12:55:00,19897,14
mediaTarde,2022-11-22T16:30:00,19898,74
tarde,2022-11-22T19:30:00,19899,99
manana,2022-11-23T12:55:00,19900,58
mediaTarde,2022-11-23T16:30:00,19901,6
tarde,2022-11-23T19:30:00,19902,59
manana,2022-11-24T12:55:00,19903,6
mediaTarde,2022-11-24T16:30:00,19904,28
tarde,2022-11-24T19:30:00,19905,60
manana,2022-11-25T12:55:00,19906,91
mediaTarde,2022-11-25T16:30:00,19907,46
tarde,2022-11-25T19:30:00,19908,4
manana,2022-11-26T12:55:00,19909,10
mediaTarde,2022-11-26T16:30:00,19910,97
tarde,2022-11-26T19:30:00,19911,59
manana,2022-11-27T12:55:00,19912,58
mediaTarde,2022-11-27T16:30:00,19913,9
tarde,2022-11-27T19:30:00,19914,53
manana,2022-11-28T12:55:00,19915,46
mediaTarde,2022-11-28T16:30:00,19916,57
tarde,2022-11-28T19:30:00,19917,12
manana,2022-11-29T12:55:00,19918,57
mediaTarde,2022-11-29T16:30:00,19919,76
tarde,2022-11-29T19:30:00,19920,48
manana,2022-11-30T12:55:00,19921,98
mediaTarde,2022-11-30T16:30:00,19922,69
tarde,2022-11-30T19:30:00,19923,32
manana,2022-12-01T12:55:00,19924,43
mediaTarde,2022-12-01T16:30:00,19925,55
tarde,2022-12-01T19:30:00,19926,8
manana,2022-12-02T12:55:00,19927,5
mediaTarde,2022-12-02T16:30:00,19928,11
tarde,2022-12-02T19:30:00,19929,55
manana,2022-12-03T12:55:00,19930,85
mediaTarde,2022-12-03T16:30:00,19931,49
tarde,2022-12-03T19:30:00,19932,60
manana,2022-12-04T12:55:00,19933,74
mediaTarde,2022-12-04T16:30:00,19934,60
tarde,2022-12-04T19:30:00,19935,9
manana,2022-12-05T12:55:00,19936,78
mediaTarde,2022-12-05T16:30:00,19937,23
tarde,2022-12-05T19:30:00,19938,9
manana,2022-12-06T12:55:00,19939,21
mediaTarde,2022-12-06T16:30:00,19940,95
tarde,2022-12-06T19:30:00,19941,24
manana,2022-12-07T12:55:00,19942,42
mediaTarde,2022-12-07T16:30:00,19943,50
tarde,2022-12-07T19:30:00,19944,89
manana,2022-12-08T12:55:00,19945,5
mediaTarde,2022-12-08T16:30:00,19946,14
tarde,2022-12-08T19:30:00,19947,0
manana,2022-12-09T12:55:00,19948,79
mediaTarde,2022-12-09T16:30:00,19949,10
tarde,2022-12-09T19:30:00,19950,48
manana,2022-12-10T12:55:00,19951,99
mediaTarde,2022-12-10T16:30:00,19952,99
tarde,2022-12-10T19:30:00,19953,42
manana,2022-12-11T12:55:00,19954,14
mediaTarde,2022-12-11T16:30:00,19955,84
tarde,2022-12-11T19:30:00,19956,4
manana,2022-12-12T12:55:00,19957,46
mediaTarde,2022-12-12T16:30:00,19958,52
tarde,2022-12-12T19:30:00,19959,21
manana,2022-12-13T12:55:00,19960,84
mediaTarde,2022-12-13T16:30:00,19961,77
tarde,2022-12-13T19:30:00,19962,58
manana,2022-12-14T12:55:00,19963,46
mediaTarde,2022-12-14T16:30:00,19964,42
tarde,2022-12-14T19:30:00,19965,86
manana,2022-12-15T12:55:00,19966,27
mediaTarde,2022-12-15T16:30:00,19967,91
tarde,2022-12-15T19:30:00,19968,95
manana,2022-12-16T12:55:00,19969,68
mediaTarde,2022-12-16T16:30:00,19970,69
tarde,2022-12-16T19:30:00,19971,53
manana,2022-12-17T12:55:00,19972,69
mediaTarde,2022-12-17T16:30:00,19973,33
tarde,2022-12-17T19:30:00,19974,35
manana,2022-12-18T12:55:00,19975,74
mediaTarde,2022-12-18T16:30:00,19976,10
tarde,2022-12-18T19:30:00,19977,0
manana,2022-12-19T12:55:00,19978,35
mediaTarde,2022-12-19T16:30:00,19979,49
tarde,2022-12-19T19:30:00,19980,40
manana,2022-12-20T12:55:00,19981,90
mediaTarde,2022-12-20T16:30:00,19982,87
tarde,2022-12-20T19:30:00,19983,26
manana,2022-12-21T12:55:00,19984,96
mediaTarde,2022-12-21T16:30:00,19985,89
tarde,2022-12-21T19:30:00,19986,67
manana,2022-12-22T12:55:00,19987,51
mediaTarde,2022-12-22T16:30:00,19988,99
tarde,2022-12-22T19:30:00,19989,70
manana,2022-12-23T12:55:00,19990,90
mediaTarde,2022-12-23T16:30:00,19991,8
tarde,2022-12-23T19:30:00,19992,50
manana,2022-12-24T12:55:00,19993,30
tarde,2022-12-24T19:30:00,19994,71
manana,2022-12-26T12:55:00,19995,13
mediaTarde,2022-12-26T16:30:00,19996,53
tarde,2022-12-26T19:30:00,19997,47
manana,2022-12-27T12:55:00,19998,77
mediaTarde,2022-12-27T16:30:00,19999,40
tarde,2022-12-27T19:30:00,20000,57
manana,2022-12-28T12:55:00,20001,39
mediaTarde,2022-12-28T16:30:00,20002,59
tarde,2022-12-28T19:30:00,20003,0
manana,2022-12-29T12:55:00,20004,38
mediaTarde,2022-12-29T16:30:00,20005,52
